,infected_reference_col
0,1
1,1
2,1
3,1
4,3
5,9
6,9
7,13
8,22
9,34
10,54
11,65
12,93
13,102
14,128
15,196
16,231
17,277
18,378
19,470
20,491
21,539
22,608
23,702
24,798
25,906
26,1065
27,1161
28,1267
29,1406
30,1485
31,1579
32,1780
33,2054
34,2223
35,2473
36,2709
37,2776
38,2852
39,2979
40,3105
41,3233
42,3439
43,3439
44,3792
45,3977
46,4149
47,4356
48,4561
49,4881
50,5142
51,5379
52,5597
53,5949
54,6207
55,6507
56,7006
57,7285
58,7668
59,7973
60,8613
61,8959
62,9456
63,10051
64,10495
65,11063
66,11613
67,12272
68,12930
69,13610
70,14216
71,14939
72,15574
73,16295
74,16935
75,17687
76,18330
77,19131
78,20177
79,21175
80,21981
81,23003
82,24104
83,24141
84,25406
85,26734
86,27219
87,29384
88,30593
89,31935
90,33466
91,36759
92,36759
93,38149
94,40847
95,40847
96,42206
97,43810
98,45344
99,46994
100,48896
101,53211
102,53211
103,55083
104,57202
105,60387
106,63454
107,68836
108,71367
109,73760
110,73760
111,77313
112,80811
113,84660
114,91995
115,91995
116,95269
117,98090
118,102261
119,106392
120,109793
121,113685
122,117412
123,120281
124,124494
125,128638
126,133973
127,140776
128,145362
129,150445
130,154277
131,159898
132,165169
133,182140
134,190700
135,197278
136,204005
137,211038
138,218428
139,226373
140,233541
141,240795
142,240795
143,257101
144,267385
145,276055
146,286020
147,295508
148,306181
149,317651
150,327850
151,334979
152,345714
153,357710
154,367204
155,376870
156,387481
157,397623
158,410453
159,422519
160,433805
161,445111
162,456689
163,468332
164,476660
165,489122
166,502178
167,513719
168,522138
169,522138
170,541139
171,551688
